Membership No  Date Joined  Active  
    13018      2017-3-1     yes   
    89388      2018-6-23    yes   
    22459      2016-4-14    yes   
    93242      2015-9-22    yes   
    70059      2017-4-7     yes   
    46047      2017-9-21    no    
    99260      2016-2-6     no    
    83138      2018-4-8     yes   
    33207      2018-8-7     no    
    25973      2020-3-1     yes   
    45875      2016-2-6     yes   
    23572      2019-7-4     no    
    57198      2015-6-7     yes   
    21444      2018-6-11    no    
    96324      2019-4-3     no    
    93136      2015-8-1     yes   
    74804      2020-6-18    no    
    72708      2015-12-3    yes   
    58618      2019-2-11    no    
    51353      2020-12-8    no    
