Membership No  Date Joined  Active  
    75126      2015-6-11    no    
    56480      2016-9-25    yes   
    49616      2018-11-15   no    
    49048      2018-8-3     no    
    90851      2019-7-21    yes   
    84332      2017-12-4    no    
    35267      2020-9-7     yes   
    10753      2015-2-17    no    
    88580      2016-9-23    yes   
    47125      2018-5-7     yes   
    84410      2018-10-20   yes   
    48387      2015-12-15   no    
    74427      2019-1-13    yes   
    13933      2018-2-5     yes   
    91991      2017-10-23   yes   
    20560      2018-2-3     yes   
    45993      2018-3-9     yes   
    31838      2017-4-15    yes   
    72022      2017-3-3     no    
    56101      2020-12-6    yes   
